timestamp,src_ip,dst_ip,protocol,length,info
2026-08-11T20:55:06.340034,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.340115,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
2026-08-11T20:55:06.340807,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.343893,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.343988,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
2026-08-11T20:55:06.365511,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.367539,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.367543,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1374,TLS application data (encrypted)
2026-08-11T20:55:06.367607,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2a04:4e42:fea::223,TCP,74,14428 -> 443 [ACK] Len=0
2026-08-11T20:55:06.367768,2a04:4e42:fea::223,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,508,TLS application data (encrypted)
